date,time,contact,message
13/11/2020,9:18 pm,Aksa,Hi
13/11/2020,9:18 pm,Aksa,I am aksa
13/11/2020,9:18 pm,Aksa,CS batch
13/11/2020,9:20 pm,Angie ✨,hello
13/11/2020,9:21 pm,Angie ✨,I'm Angeleena
13/11/2020,9:21 pm,Angie ✨,batch etha?
13/11/2020,9:21 pm,Aksa,Cs
13/11/2020,9:21 pm,Aksa,A
13/11/2020,9:21 pm,Angie ✨,njanum
13/11/2020,9:21 pm,Aksa,Evdya veedu
13/11/2020,9:21 pm,Angie ✨,veed evida
13/11/2020,9:21 pm,Aksa,Kottayam
13/11/2020,9:21 pm,Angie ✨,🙈
13/11/2020,9:21 pm,Angie ✨,kottayam
13/11/2020,9:21 pm,Aksa,Aha
13/11/2020,9:22 pm,Aksa,Ngan Pampady
13/11/2020,9:22 pm,Angie ✨,kottayam evida
13/11/2020,9:22 pm,Angie ✨,oh
13/11/2020,9:22 pm,Angie ✨,njan illivalavu
13/11/2020,9:22 pm,Aksa,Aha
13/11/2020,9:22 pm,Angie ✨,😬
13/11/2020,9:22 pm,Aksa,Enikk ariyam
13/11/2020,9:22 pm,Angie ✨,engane
13/11/2020,9:22 pm,Aksa,Ente Amma veedu manarcada
13/11/2020,9:22 pm,Angie ✨,College bus aano
13/11/2020,9:22 pm,Aksa,Athe
13/11/2020,9:22 pm,Angie ✨,oh ok
13/11/2020,9:23 pm,Angie ✨,niceeee
13/11/2020,9:23 pm,Angie ✨,njanum
13/11/2020,9:23 pm,Aksa,Mm
13/11/2020,9:23 pm,Angie ✨,orumuchu pookam
13/11/2020,9:23 pm,Aksa,Evdya padiche
13/11/2020,9:23 pm,Angie ✨,😁
13/11/2020,9:23 pm,Aksa,Mm
13/11/2020,9:23 pm,Angie ✨,Chavara school
13/11/2020,9:23 pm,Aksa,Ok
13/11/2020,9:24 pm,Angie ✨,evda padiche
13/11/2020,9:24 pm,Aksa,Ngan bmm Pampady
13/11/2020,9:24 pm,Angie ✨,ohh
13/11/2020,9:24 pm,Angie ✨,Easwariye ariyo?
13/11/2020,9:24 pm,Aksa,Aaam
13/11/2020,9:24 pm,Aksa,Classmate arunnu
13/11/2020,9:24 pm,Angie ✨,😊
13/11/2020,9:24 pm,Aksa,Avalkk evdya chernne
13/11/2020,9:25 pm,Angie ✨,chavara yill ente best frnd aarunnu
13/11/2020,9:25 pm,Aksa,Ano
13/11/2020,9:25 pm,Angie ✨,Aval medical all india allotment koduthekkuva
13/11/2020,9:25 pm,Angie ✨,yess
13/11/2020,9:25 pm,Aksa,Aval entekoode 1st std thott ondarnnu
13/11/2020,9:26 pm,Aksa,Ok da
13/11/2020,9:26 pm,Angie ✨,kollalo
13/11/2020,9:26 pm,Aksa,Ente bestie arunnu
13/11/2020,9:26 pm,Angie ✨,niceee
13/11/2020,9:26 pm,Angie ✨,appol nammal randum avalde besties
13/11/2020,9:27 pm,Aksa,Athe
13/11/2020,9:27 pm,Angie ✨,😂😂😂
13/11/2020,9:27 pm,Aksa,😅
13/11/2020,9:27 pm,Angie ✨,lol
13/11/2020,9:27 pm,Aksa,Ellarum parichayapetto
13/11/2020,9:27 pm,Angie ✨,njan college busil pookan koottillallo ennu orthirikkuvarunnu
13/11/2020,9:28 pm,Aksa,Ano
13/11/2020,9:28 pm,Angie ✨,illada
13/11/2020,9:28 pm,Aksa,Ngan Pampady root asn
13/11/2020,9:28 pm,Aksa,*aan
13/11/2020,9:28 pm,Aksa,Oru photo ayakkuvo
13/11/2020,9:28 pm,Angie ✨,nammade route onnalle?
13/11/2020,9:28 pm,Angie ✨,wait
13/11/2020,9:28 pm,Aksa,Ariyilla
13/11/2020,9:32 pm,Angie ✨,Specs unde
13/11/2020,9:32 pm,Angie ✨,😂😂
13/11/2020,9:32 pm,Aksa,Aha
13/11/2020,9:32 pm,Aksa,Ngan vicharich orangi poyennu😂
13/11/2020,9:32 pm,Aksa,Ano
13/11/2020,9:32 pm,Angie ✨,<Media omitted>
13/11/2020,9:32 pm,Angie ✨,🙈🙈🙈
13/11/2020,9:33 pm,Aksa,Nammal induction programme nnu kandillannu thonnunnu
13/11/2020,9:33 pm,Aksa,😊
13/11/2020,9:34 pm,Angie ✨,Illa
13/11/2020,9:34 pm,Angie ✨,😂😂
13/11/2020,9:34 pm,Aksa,Ok da
13/11/2020,9:34 pm,Angie ✨,okie
13/11/2020,9:34 pm,Aksa,Bye
13/11/2020,9:34 pm,Angie ✨,👋🏼👋🏼
13/11/2020,9:35 pm,Aksa,😁
14/11/2020,4:34 pm,Aksa,Hi
14/11/2020,4:34 pm,Aksa,Inn classil keriyo
14/11/2020,4:36 pm,Angie ✨,Yess
14/11/2020,4:37 pm,Angie ✨,But onnum karyamayittu manasilayilla
14/11/2020,4:37 pm,Aksa,Enikkum
14/11/2020,5:50 pm,Angie ✨,hello?
14/11/2020,5:50 pm,Angie ✨,class full attend cheytharunno?
14/11/2020,6:54 pm,Aksa,4.45 vare
14/11/2020,6:54 pm,Aksa,Pakshe onnum manasilayilla😌
16/11/2020,12:10 pm,Aksa,Hlo
16/11/2020,12:10 pm,Angie ✨,Hii
16/11/2020,12:10 pm,Aksa,Did u were at the discussion
16/11/2020,12:11 pm,Angie ✨,Yess
16/11/2020,12:12 pm,Aksa,Ngan samsaricharuunnu
16/11/2020,12:12 pm,Aksa,But was I audible??
16/11/2020,12:12 pm,Angie ✨,Yeah
16/11/2020,12:12 pm,Aksa,😂
16/11/2020,12:12 pm,Angie ✨,Kuzhappam illarunnu
16/11/2020,12:12 pm,Aksa,🤣
16/11/2020,12:13 pm,Angie ✨,Pinne
23/11/2020,3:01 pm,Aksa,Da graphics inte sir pencil Eth venam nna parange
23/11/2020,3:01 pm,Aksa,H ano vende
23/11/2020,3:06 pm,Angie ✨,H and 2H
23/11/2020,3:06 pm,Aksa,Ok da
24/11/2020,8:09 am,Aksa,Da ni notes esuthunnondo
24/11/2020,8:09 am,Aksa,Notil??
24/11/2020,8:58 am,Angie ✨,Njan paper ill aanu ezhuthuye
24/11/2020,8:59 am,Angie ✨,Maths miss parayunnath kond note il ezhuthum
24/11/2020,8:59 am,Aksa,Ano
24/11/2020,8:59 am,Aksa,Okk
24/11/2020,7:04 pm,Aksa,Eda enikk oru doubt ond
24/11/2020,7:04 pm,Aksa,Enn cheythathil
24/11/2020,7:05 pm,Aksa,Ngan differentiation ichiri marannu poyi
24/11/2020,7:05 pm,Aksa,Innate 6th qn
24/11/2020,10:43 pm,Angie ✨,<Media omitted>
24/11/2020,10:44 pm,Angie ✨,<Media omitted>
25/11/2020,7:07 am,Aksa,Ok da
05/12/2020,2:03 pm,Aksa,Da
05/12/2020,2:03 pm,Angie ✨,<Media omitted>
05/12/2020,2:03 pm,Aksa,Cheytho
05/12/2020,2:03 pm,Angie ✨,<Media omitted>
05/12/2020,2:04 pm,Aksa,Lap ondel entho cheyyana
05/12/2020,2:04 pm,Aksa,Ente kayyil ippam lap illa😁
05/12/2020,2:04 pm,Aksa,Ngan chumma irikkuva😂
05/12/2020,2:04 pm,Angie ✨,<Media omitted>
05/12/2020,2:05 pm,Angie ✨,<Media omitted>
05/12/2020,2:05 pm,Aksa,Aa enikk ariyilla
05/12/2020,2:05 pm,Aksa,Share cheyyan parangal pett🥴
05/12/2020,2:06 pm,Angie ✨,🥶🥶
05/12/2020,2:46 pm,Aksa,Eda eni enth cheyyanam
05/12/2020,2:46 pm,Aksa,Excel edukkano
05/12/2020,2:47 pm,Angie ✨,Yes
14/12/2020,9:09 pm,Angie ✨,Calculator medicho
14/12/2020,9:09 pm,Angie ✨,Njan FX 991 es plus
14/12/2020,9:28 pm,Aksa,Ngan order cheythu
14/12/2020,9:28 pm,Aksa,Amazonil
